Street1,Street2,City,State,Zip,Latitude,Longitude,County,Census Year,ACS Demographics/Population by age range/Total/Value,ACS Demographics/Race and ethnicity/Not Hispanic or Latino/Percentage,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: White alone/Percentage,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: Black or African American alone/Percentage,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: American Indian and Alaska Native alone/Percentage,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: Asian alone/Percentage,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander alone/Percentage,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: Some other race alone/Percentage,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: Two or more races/Percentage,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: Two or more races: Two races including Some other race/Percentage,"ACS Demographics/Race and ethnicity/Not Hispanic or Latino: Two or more races: Two races excluding Some other race, and three or more races/Percentage",ACS Demographics/Race and ethnicity/Hispanic or Latino/Percentage,ACS Demographics/Race and ethnicity/Hispanic or Latino: White alone/Percentage,ACS Demographics/Race and ethnicity/Hispanic or Latino: Black or African American alone/Percentage,ACS Demographics/Race and ethnicity/Hispanic or Latino: American Indian and Alaska Native alone/Percentage,ACS Demographics/Race and ethnicity/Hispanic or Latino: Asian alone/Percentage,ACS Demographics/Race and ethnicity/Hispanic or Latino: Native Hawaiian and Other Pacific Islander alone/Percentage,ACS Demographics/Race and ethnicity/Hispanic or Latino: Some other race alone/Percentage,ACS Demographics/Race and ethnicity/Hispanic or Latino: Two or more races/Percentage,ACS Demographics/Race and ethnicity/Hispanic or Latino: Two or more races: Two races including Some other race/Percentage,"ACS Demographics/Race and ethnicity/Hispanic or Latino: Two or more races: Two races excluding Some other race, and three or more races/Percentage",ACS Economics/Number of households/Total/Value,ACS Economics/Median household income/Total/Value,"ACS Economics/Household income/Less than $10,000/Value","ACS Economics/Household income/$10,000 to $14,999/Value","ACS Economics/Household income/$15,000 to $19,999/Value","ACS Economics/Household income/$20,000 to $24,999/Value","ACS Economics/Household income/$25,000 to $29,999/Value","ACS Economics/Household income/$30,000 to $34,999/Value","ACS Economics/Household income/$35,000 to $39,999/Value","ACS Economics/Household income/$40,000 to $44,999/Value","ACS Economics/Household income/$45,000 to $49,999/Value","ACS Economics/Household income/$50,000 to $59,999/Value","ACS Economics/Household income/$60,000 to $74,999/Value","ACS Economics/Household income/$75,000 to $99,999/Value","ACS Economics/Household income/$100,000 to $124,999/Value","ACS Economics/Household income/$125,000 to $149,999/Value","ACS Economics/Household income/$150,000 to $199,999/Value","ACS Economics/Household income/$200,000 or more/Value",ACS Housing/Median value of owner-occupied housing units/Total/Value,"ACS Housing/Value of owner-occupied housing units/Less than $10,000/Value","ACS Housing/Value of owner-occupied housing units/$10,000 to $14,999/Value","ACS Housing/Value of owner-occupied housing units/$15,000 to $19,999/Value","ACS Housing/Value of owner-occupied housing units/$20,000 to $24,999/Value","ACS Housing/Value of owner-occupied housing units/$25,000 to $29,999/Value","ACS Housing/Value of owner-occupied housing units/$30,000 to $34,999/Value","ACS Housing/Value of owner-occupied housing units/$35,000 to $39,999/Value","ACS Housing/Value of owner-occupied housing units/$40,000 to $49,999/Value","ACS Housing/Value of owner-occupied housing units/$50,000 to $59,999/Value","ACS Housing/Value of owner-occupied housing units/$60,000 to $69,999/Value","ACS Housing/Value of owner-occupied housing units/$70,000 to $79,999/Value","ACS Housing/Value of owner-occupied housing units/$80,000 to $89,999/Value","ACS Housing/Value of owner-occupied housing units/$90,000 to $99,999/Value","ACS Housing/Value of owner-occupied housing units/$100,000 to $124,999/Value","ACS Housing/Value of owner-occupied housing units/$125,000 to $149,999/Value","ACS Housing/Value of owner-occupied housing units/$150,000 to $174,999/Value","ACS Housing/Value of owner-occupied housing units/$175,000 to $199,999/Value","ACS Housing/Value of owner-occupied housing units/$200,000 to $249,999/Value","ACS Housing/Value of owner-occupied housing units/$250,000 to $299,999/Value","ACS Housing/Value of owner-occupied housing units/$300,000 to $399,999/Value","ACS Housing/Value of owner-occupied housing units/$400,000 to $499,999/Value","ACS Housing/Value of owner-occupied housing units/$500,000 to $749,999/Value","ACS Housing/Value of owner-occupied housing units/$750,000 to $999,999/Value","ACS Housing/Value of owner-occupied housing units/$1,000,000 to $1,499,999/Value","ACS Housing/Value of owner-occupied housing units/$1,500,000 to $1,999,999/Value","ACS Housing/Value of owner-occupied housing units/$2,000,000 or more/Value"
4722 Onondaga Boulevard,,Syracuse,NY,13219,43.031331,-76.192202,Onondaga County,2019,789,0.992,0.865,0.087,0.023,0,0,0,0.026,0,1,0.008,1,0,0,0,0,0,0,0,0,398,79196,18,8,15,5,4,18,11,17,4,17,38,73,70,36,43,21,158300,0,0,0,0,0,0,0,6,0,5,0,31,35,41,44,48,37,56,6,40,7,0,0,0,0,0
6143 Peach Street,,Erie,PA,16509,42.060378,-80.091689,Erie County,2019,811,1,0.864,0.064,0.044,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526,36688,119,8,0,16,26,67,40,107,28,38,49,0,28,0,0,0,123200,0,0,0,0,0,0,0,0,0,0,0,0,0,55,26,13,0,8,0,0,0,0,0,0,0,0
650 Harry L Drive,,Johnson City,NY,13790,42.122868,-75.973169,Broome County,2019,860,0.934,0.803,0.007,0,0.111,0,0,0.078,0,1,0.066,0,0,0.421,0,0,0,0.579,0,1,350,61607,9,22,27,17,14,9,18,21,0,29,54,73,18,22,17,0,106900,0,0,0,0,0,0,0,0,0,0,58,43,23,47,43,22,19,0,6,0,0,0,13,0,0,0
1000 Highway 36 North,,Hornell,NY,14843,42.318863,-77.660422,Steuben County,2019,902,0.99,0.861,0.038,0,0,0,0,0.101,0,1,0.01,1,0,0,0,0,0,0,0,0,284,54268,0,26,32,28,7,0,6,6,0,77,21,43,32,0,0,6,63800,0,0,0,0,6,0,0,9,41,21,6,23,0,0,11,11,0,0,0,0,0,0,0,0,0,0
945 Fairmount Ave,,Jamestown,NY,14701,42.094472,-79.290858,Chautauqua County,2019,949,0.984,0.999,0.001,0,0,0,0,0,0,0,0.016,0.933,0.067,0,0,0,0,0,0,0,401,64602,0,17,28,0,11,29,31,31,7,28,68,28,50,73,0,0,101900,9,17,0,0,0,0,11,20,0,53,32,29,7,27,49,0,32,22,44,0,8,0,0,0,0,0
122 Shawan Road,,Hunt Valley,MD,21030,39.497972,-76.656351,Baltimore County,2019,953,0.973,0.888,0.03,0,0.064,0,0.009,0.01,0,1,0.027,0.846,0.115,0,0,0,0.038,0,0,0,552,72000,5,35,40,11,28,11,32,35,15,25,48,80,56,24,44,63,266400,0,0,0,0,0,0,0,0,0,0,10,0,0,0,11,5,10,64,113,56,0,5,0,0,0,0
4979 West Taft Road,,Liverpool,NY,13088,43.122818,-76.169661,Onondaga County,2019,954,1,0.802,0.065,0,0.102,0,0.017,0.015,0,1,0,0,0,0,0,0,0,0,0,0,595,42008,9,42,41,48,27,44,60,33,28,66,56,67,17,7,35,15,240300,0,8,0,0,0,0,0,0,0,0,0,0,0,7,9,10,24,36,26,44,0,10,0,0,0,0
5028 West Ridge Road,,Erie,PA,16506,42.068236,-80.189134,Erie County,2019,958,0.971,0.984,0.009,0.008,0,0,0,0,0,0,0.029,1,0,0,0,0,0,0,0,0,439,36321,40,76,28,11,16,30,43,28,14,43,24,28,12,16,10,20,146900,0,0,0,0,0,0,0,0,0,0,0,5,9,30,16,36,0,8,0,0,0,12,0,0,0,0
525 Titus Avenue,,Rochester,NY,14617,43.20926,-77.60285,Monroe County,2019,967,0.604,0.67,0.33,0,0,0,0,0,0,0,0.396,0.966,0,0,0,0,0.034,0,0,0,465,35729,75,81,46,17,0,10,31,0,0,86,46,13,27,33,0,0,130000,0,0,0,0,0,0,0,0,0,0,0,0,0,72,75,27,0,0,0,0,0,0,0,0,0,0
4256 James Street,,East Syracuse,NY,13057,43.068433,-76.087068,Onondaga County,2019,968,0.969,0.759,0.141,0.015,0,0,0,0.085,0,1,0.031,1,0,0,0,0,0,0,0,0,400,61161,19,0,0,17,35,14,21,31,18,32,59,46,86,22,0,0,89000,0,0,0,0,0,0,0,0,17,42,33,58,45,53,0,9,0,0,0,3,11,0,7,10,0,0
601 Amherst Street,,Buffalo,NY,14207,42.939219,-78.88273,Erie County,2019,986,0.765,0.821,0.146,0.009,0,0,0,0.024,0,1,0.235,0.069,0,0.099,0,0,0.832,0,0,0,353,37740,31,46,0,8,25,64,26,40,14,24,39,0,0,0,7,29,117200,0,0,9,0,0,0,0,8,13,0,10,0,0,8,0,19,0,24,0,0,0,0,0,0,0,0
1955 Empire Boulevard,,Webster,NY,14580,43.191338,-77.504326,Monroe County,2019,998,0.98,0.97,0.001,0,0.014,0,0,0.014,0,1,0.02,1,0,0,0,0,0,0,0,0,668,34953,32,57,33,102,58,53,17,14,32,39,111,65,27,16,0,12,142200,0,0,0,16,0,0,0,0,0,0,0,0,0,16,110,36,25,12,0,0,0,0,0,0,0,0
500 South Meadow Street,,Ithaca,NY,14850,42.435661,-76.510575,Tompkins County,2019,1035,1,0.835,0,0,0.165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,655,33125,115,113,49,28,0,51,17,31,0,55,14,119,27,24,12,0,154300,0,0,0,0,0,23,14,29,0,0,0,0,0,26,13,26,24,37,15,12,0,0,0,0,0,0
675 Alberta Drive,,Amherst,NY,14226,42.989198,-78.816052,Erie County,2019,1063,0.971,0.467,0.299,0.02,0.149,0,0.047,0.016,0,1,0.029,1,0,0,0,0,0,0,0,0,673,0,214,55,42,13,0,37,0,14,35,90,89,24,18,42,0,0,87200,0,0,0,0,0,0,0,0,0,0,17,79,20,0,13,18,0,0,0,0,0,0,0,0,0,0
8297 Stonewall Shops Square,,Gainesville,VA,20155,38.784418,-77.653317,Prince William County,2019,1065,0.975,0.662,0.201,0,0.115,0,0,0.022,0,1,0.025,1,0,0,0,0,0,0,0,0,367,219531,0,0,0,0,0,33,0,0,0,8,11,20,0,36,38,221,719100,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,170,104,41,0,0
1245 Worcester Street,,Natick,MA,1760,42.300724,-71.38567,Middlesex County,2019,1155,0.955,0.681,0,0.001,0.306,0,0,0.012,0,1,0.045,1,0,0,0,0,0,0,0,0,491,141250,23,7,9,8,0,0,0,41,0,9,45,55,34,67,80,113,499300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,68,149,209,16,0,0,0
2100 Route 70 West,,Cherry Hill,NJ,8002,39.920712,-75.03745,Camden County,2019,1170,0.896,0.975,0.003,0,0.022,0,0,0,0,0,0.104,1,0,0,0,0,0,0,0,0,549,48348,17,37,111,10,26,14,39,0,39,22,33,45,19,53,37,47,223500,12,0,0,0,0,0,0,61,0,0,0,0,15,0,0,23,88,33,70,103,0,13,11,0,0,0
20600 Seneca Meadows Parkway,,Germantown,MD,20876,39.199276,-77.256527,Montgomery County,2019,1183,0.973,0.503,0.356,0.074,0.056,0,0,0.01,0,1,0.027,0,1,0,0,0,0,0,0,0,357,111250,64,0,0,0,0,0,0,0,52,19,18,0,79,36,37,52,387100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,97,28,34,0,0,0,22
3325 West Genesee Street,,Syracuse,NY,13219,43.047013,-76.227364,Onondaga County,2019,1196,0.992,0.838,0.154,0,0,0,0,0.008,0,1,0.008,1,0,0,0,0,0,0,0,0,472,60000,17,8,0,48,37,28,21,9,24,44,35,93,16,35,57,0,140900,0,8,0,0,0,0,0,0,0,0,9,8,16,85,145,114,32,19,0,0,0,0,0,0,0,0
7519 Oswego Road,,Liverpool,NY,13090,43.134931,-76.223681,Onondaga County,2019,1205,0.987,0.96,0.04,0,0,0,0,0,0,0,0.013,1,0,0,0,0,0,0,0,0,503,78695,16,14,17,21,0,0,31,0,14,84,22,148,48,24,22,42,148900,0,15,0,0,0,0,0,0,0,0,16,0,17,101,107,131,22,12,55,14,0,0,0,13,0,0
169 University Avenue,,Westwood,MA,2090,42.206686,-71.154577,Norfolk County,2019,1223,0.943,0.781,0.093,0,0.127,0,0,0,0,0,0.057,1,0,0,0,0,0,0,0,0,460,149881,23,13,11,11,11,13,0,0,13,0,14,48,24,50,87,142,878700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,201,64,0,0
2000 Crossings Blvd,,Lancaster,PA,17601,40.059345,-76.340656,Lancaster County,2019,1226,0.791,0.948,0.009,0,0.019,0,0,0.024,0,1,0.209,0.066,0.352,0,0,0,0.035,0.547,0,1,416,58750,6,30,24,8,13,36,16,46,5,32,31,68,32,8,44,17,124100,0,0,0,0,0,0,0,0,0,0,6,7,7,79,14,15,21,32,7,0,0,4,0,0,0,0
11620 Monument Drive,,Fairfax,VA,22030,38.85153,-77.347807,Fairfax County,2019,1229,0.823,0.568,0.21,0,0.208,0,0,0.015,0,1,0.177,0.344,0.073,0,0,0,0.583,0,0,0,680,77286,54,0,0,0,25,35,23,41,0,81,49,175,79,44,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
651 Dick Road,,Depew,NY,14043,42.920671,-78.737235,Erie County,2019,1241,1,0.871,0.031,0,0.029,0,0,0.069,0.709,0.291,0,0,0,0,0,0,0,0,0,0,643,58558,0,23,29,26,39,18,28,77,18,71,44,144,67,51,8,0,116900,0,0,0,0,0,0,0,0,0,10,0,23,34,180,72,26,16,0,0,9,0,7,0,0,0,0
1750 East Avenue,,Rochester,NY,14610,43.146546,-77.557501,Monroe County,2019,1260,0.944,0.824,0.142,0,0.021,0,0,0.013,0,1,0.056,0.859,0,0,0,0,0.141,0,0,0,956,52750,87,24,58,62,53,17,82,66,9,48,122,142,50,46,24,66,166100,0,0,0,0,0,0,0,0,0,8,0,0,8,47,16,31,0,13,6,29,10,9,10,11,0,0
7905 Hilltop Village Center Drive,,Alexandria,VA,22315,38.742396,-77.161782,Fairfax County,2019,1293,0.869,0.641,0.263,0,0.074,0,0,0.022,0,1,0.131,0.657,0,0,0,0,0,0.343,0.741,0.259,620,122000,7,0,0,0,8,10,0,8,50,20,58,61,132,42,109,115,512200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,108,68,35,185,76,0,0,0
34 Sylvan Way,,Hanover,NJ,7054,40.846702,-74.447657,Morris County,2019,1324,0.822,0.646,0.019,0,0.281,0,0,0.053,0,1,0.178,1,0,0,0,0,0,0,0,0,361,106964,0,0,0,16,0,8,0,0,30,17,17,77,51,36,78,31,397500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,7,19,122,114,37,0,0,0,0
3195 Monroe Avenue,,Rochester,NY,14618,43.103939,-77.543324,Monroe County,2019,1344,0.973,0.73,0.05,0,0.206,0,0,0.015,0,1,0.027,0.583,0,0,0,0,0.139,0.278,1,0,455,89191,20,0,0,0,22,3,4,31,23,16,33,98,35,12,7,151,350000,0,0,0,0,0,0,0,0,0,0,0,15,0,0,5,16,3,28,19,29,24,22,0,0,40,0
106 Corporate Park Drive,,Harrison,NY,10604,41.020428,-73.718943,Westchester County,2019,1394,0.878,0.865,0.071,0,0.051,0,0.012,0,0,0,0.122,0.353,0,0,0,0,0.488,0.159,1,0,423,0,54,0,7,9,0,0,26,0,0,0,39,41,42,8,0,197,1691700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,34,54,57,15,161
4721 Virginia Beach Blvd,,Virginia Beach,VA,23462,36.842267,-76.140357,Virginia Beach city,2019,1417,0.974,0.665,0.164,0,0.167,0,0,0.004,0,1,0.026,0.405,0,0.405,0,0,0.189,0,0,0,539,56366,6,0,5,40,50,27,20,69,5,78,88,82,9,33,0,27,215300,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,16,49,100,27,10,0,6,0,0,0,0
24 S Bridge St,,Corning,NY,14830,42.145899,-77.063394,Steuben County,2019,1471,1,0.935,0.015,0,0.031,0,0,0.02,0,1,0,0,0,0,0,0,0,0,0,0,660,55583,29,10,18,30,28,62,16,50,69,41,108,112,20,15,33,19,100400,0,20,0,0,0,0,0,16,10,41,32,32,16,97,25,29,0,6,7,0,0,6,0,0,0,0
53 Third Avenue,,Burlington,MA,1803,42.487326,-71.226524,Middlesex County,2019,1500,0.991,0.822,0.011,0,0.145,0,0,0.022,1,0,0.009,1,0,0,0,0,0,0,0,0,797,88711,87,10,21,27,11,10,50,11,9,12,50,159,54,88,82,116,538200,11,0,0,0,0,0,0,0,0,0,0,0,0,9,0,11,0,0,10,23,69,144,33,0,0,0
3135 Niagara Falls Blvd,,Amherst,NY,14228,43.038337,-78.823496,Erie County,2019,1506,0.979,0.637,0.292,0,0.045,0,0,0.026,0,1,0.021,0,0,0,0,0,0,1,0,1,766,37500,83,55,41,39,89,23,79,10,27,13,103,85,30,18,71,0,169400,0,0,0,0,0,0,0,0,0,0,41,0,0,14,61,58,51,68,29,0,0,0,0,0,0,0
14361 Newbrook Drive,,Chantilly,VA,20151,38.877441,-77.443629,Fairfax County,2019,1513,0.753,0.758,0,0,0.191,0,0,0.051,0,1,0.247,0.291,0.094,0,0,0,0.214,0.401,0.867,0.133,424,96111,9,8,17,0,11,0,0,21,0,43,13,95,27,82,45,53,443100,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,119,72,129,0,0,0,0
600 Commerce Drive,,Collegeville,PA,19426,40.137282,-75.197001,Montgomery County,2019,1540,0.982,0.9,0.032,0,0.067,0,0,0,0,0,0.018,1,0,0,0,0,0,0,0,0,589,142019,0,0,6,24,25,0,14,18,0,44,41,42,52,45,61,217,631200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,322,42,8,0,0
3850 Mystic Valley Parkway,,Medford,MA,2155,42.406941,-71.091826,Middlesex County,2019,1544,0.926,0.712,0.023,0,0.259,0,0,0.006,1,0,0.074,1,0,0,0,0,0,0,0,0,691,98705,9,13,36,52,0,10,0,45,0,25,34,150,110,43,82,82,396200,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,16,173,161,68,0,0,0,0
3955 Route 31,,Liverpool,NY,13090,43.185989,-76.235293,Onondaga County,2019,1571,0.982,0.957,0.029,0,0,0,0,0.015,0,1,0.018,0.586,0,0,0,0,0.414,0,0,0,833,53281,37,22,15,26,43,90,45,28,25,132,113,82,23,24,81,47,147900,0,0,0,0,0,7,0,0,0,21,0,29,0,68,72,43,25,52,32,12,21,0,0,0,0,0
